Item Name,Search Interest,Average Price
Mushroom Lamp,38,$25.00
Cloud Lamp,19,$30.00
Pendant Lamp,22,$45.00
Jelly Blush,58,$15.00
Chunky Belt,26,$22.00
Bug Jewelry,43,$18.00
Cute Stamps,15,$12.00
Lace Belt,17,$20.00
Gold Cuff,28,$35.00
Leather Banquette,17,$150.00
